url,page,type,function
/,index,GET,
/content?ei=1,content,GET,
/content/payment?ei=1,payment,GET,
/content/payment,ticketList,POST,
/mypage,myPage,GET,
/mypage/ticketlist,ticketList,GET,
/mypage/ticketlist?ei=1,qrCode,GET,
/mypage/registerevent,registerEvent,GET,
/mypage/refund,refund,GET,
/mypage/refund,refund,POST,
/mypage/history,history,GET,
/mypage/history?ei=1,historyContent,GET,
/mypage/cancellist,cancelList,GET,
/mypage/cancellist,cancelList,POST,refundAll
/user,user,GET,
/user/signup,signUp,GET,
/user/login,login,GET,
,,,
,,,
/user/logout,index,POST,
